# region	profile	map_bytes	declared
N3W2	0x09	1393896	09,12
N4E2	0x03	3194288	03,0B,12,83
N4E3	0x04	11204500	03,04,12,83
N4E4	0x04	4781488	04,12
N4W1	0x09	11443136	09,12
N4W2	0x09	2171468	09,12
N4W3	0x09	319152	09,12
N5E1	0x0B	58627680	08,09,0A,0B,12,16
N5E2	0x16	94345488	03,04,08,0B,0E,12,16,2A
N5E3	0x04	36618792	04,12,2A
N5W1	0x09	66289128	09,0A,12
N5W2	0x09	995560	09,12
N5W3	0x09	124700	09,12
N6E1	0x02	16109084	01,02,07,08,0A,0C,0D,0E,12
N6E2	0x02	35423752	02,0E,11,12,2A
N6E3	0x2A	32453932	12,2A
N6W1	0x0C	65162996	0A,0C,12
N7E1	0x0D	61253592	0D,11,12
N7E2	0x0D	23881028	0D,11,12
N7W1	0x0D	16866984	0C,0D,12
N8E1	0x0D	9616776	0D,12
N8E2	0x0D	6281148	0D,12
